Elapse,Mag_raw_X,Mag_raw_Y,Mag_raw_Z
5.4590000000001,-92,-384,-76
5.2380000000003,-92,-384,-76
5.29399999999969,-92,-384,-76
4.22199999999995,-95,-381,-83
5.38799999999995,-93,-377,-87
5.34000000000034,-93,-377,-87
4.22699999999976,-93,-377,-87
5.3930000000002,-91,-383,-81
5.23099999999976,-93,-383,-81
5.38300000000014,-93,-389,-85
5.39200000000006,-93,-389,-85
5.23899999999999,-87,-387,-87
4.2040000000001,-87,-387,-87
5.42799999999977,-97,-389,-75
5.28299999999993,-97,-389,-75
5.29599999999997,-96,-392,-82
4.47400000000009,-96,-392,-82
5.37300000000007,-83,-389,-85
4.15799999999988,-83,-389,-85
